index,emoji,name,group,sub_group,codepoints,is_0_1
0,😀grinning face,grinning face,Smileys & Emotion,face-smiling,1F600,0
1,😃grinning face with big eyes,grinning face with big eyes,Smileys & Emotion,face-smiling,1F603,0
2,😄grinning face with smiling eyes,grinning face with smiling eyes,Smileys & Emotion,face-smiling,1F604,0
3,😁beaming face with smiling eyes,beaming face with smiling eyes,Smileys & Emotion,face-smiling,1F601,0
4,😆grinning squinting face,grinning squinting face,Smileys & Emotion,face-smiling,1F606,0
5,😅grinning face with sweat,grinning face with sweat,Smileys & Emotion,face-smiling,1F605,0
6,🤣rolling on the floor laughing,rolling on the floor laughing,Smileys & Emotion,face-smiling,1F923,0
7,😂face with tears of joy,face with tears of joy,Smileys & Emotion,face-smiling,1F602,0
8,🙂slightly smiling face,slightly smiling face,Smileys & Emotion,face-smiling,1F642,0
9,🙃upside-down face,upside-down face,Smileys & Emotion,face-smiling,1F643,0
10,😉winking face,winking face,Smileys & Emotion,face-smiling,1F609,0
11,😊smiling face with smiling eyes,smiling face with smiling eyes,Smileys & Emotion,face-smiling,1F60A,0
12,😇smiling face with halo,smiling face with halo,Smileys & Emotion,face-smiling,1F607,0
13,🥰smiling face with hearts,smiling face with hearts,Smileys & Emotion,face-affection,1F970,0
14,😍smiling face with heart-eyes,smiling face with heart-eyes,Smileys & Emotion,face-affection,1F60D,0
15,🤩star-struck,star-struck,Smileys & Emotion,face-affection,1F929,0
16,😘face blowing a kiss,face blowing a kiss,Smileys & Emotion,face-affection,1F618,0
17,😗kissing face,kissing face,Smileys & Emotion,face-affection,1F617,0
18,☺️smiling face,smiling face,Smileys & Emotion,face-affection,263A FE0F,0
19,☺smiling face,smiling face,Smileys & Emotion,face-affection,263A,0
20,😚kissing face with closed eyes,kissing face with closed eyes,Smileys & Emotion,face-affection,1F61A,0
21,😙kissing face with smiling eyes,kissing face with smiling eyes,Smileys & Emotion,face-affection,1F619,0
22,🥲smiling face with tear,smiling face with tear,Smileys & Emotion,face-affection,1F972,1
23,😋face savoring food,face savoring food,Smileys & Emotion,face-tongue,1F60B,0
24,😛face with tongue,face with tongue,Smileys & Emotion,face-tongue,1F61B,0
25,😜winking face with tongue,winking face with tongue,Smileys & Emotion,face-tongue,1F61C,0
26,🤪zany face,zany face,Smileys & Emotion,face-tongue,1F92A,1
27,😝squinting face with tongue,squinting face with tongue,Smileys & Emotion,face-tongue,1F61D,1
28,🤑money-mouth face,money-mouth face,Smileys & Emotion,face-tongue,1F911,0
29,🤗hugging face,hugging face,Smileys & Emotion,face-hand,1F917,0
30,🤭face with hand over mouth,face with hand over mouth,Smileys & Emotion,face-hand,1F92D,0
31,🤫shushing face,shushing face,Smileys & Emotion,face-hand,1F92B,0
32,🤔thinking face,thinking face,Smileys & Emotion,face-hand,1F914,0
